Band,SZA,VZA,RAA,R_atm
B1,0,0,0,0.091
B1,0,0,10,0.091
B1,0,0,20,0.091
B1,0,0,30,0.091
B1,0,0,40,0.091
B1,0,0,50,0.091
B1,0,0,60,0.091
B1,0,0,70,0.091
B1,0,0,80,0.091
B1,0,0,90,0.091
B1,0,0,100,0.091
B1,0,0,110,0.091
B1,0,0,120,0.091
B1,0,0,130,0.091
B1,0,0,140,0.091
B1,0,0,150,0.091
B1,0,0,160,0.091
B1,0,0,170,0.091
B1,0,0,180,0.091
B1,0,10,0,0.091
B1,0,10,10,0.091
B1,0,10,20,0.091
B1,0,10,30,0.091
B1,0,10,40,0.091
B1,0,10,50,0.091
B1,0,10,60,0.091
B1,0,10,70,0.091
B1,0,10,80,0.091
B1,0,10,90,0.091
B1,0,10,100,0.091
B1,0,10,110,0.091
B1,0,10,120,0.091
B1,0,10,130,0.091
B1,0,10,140,0.091
B1,0,10,150,0.091
B1,0,10,160,0.091
B1,0,10,170,0.091
B1,0,10,180,0.091
B1,0,20,0,0.091
B1,0,20,10,0.091
B1,0,20,20,0.091
B1,0,20,30,0.091
B1,0,20,40,0.091
B1,0,20,50,0.091
B1,0,20,60,0.091
B1,0,20,70,0.091
B1,0,20,80,0.091
B1,0,20,90,0.091
B1,0,20,100,0.091
B1,0,20,110,0.091
B1,0,20,120,0.091
B1,0,20,130,0.091
B1,0,20,140,0.091
B1,0,20,150,0.091
B1,0,20,160,0.091
B1,0,20,170,0.091
B1,0,20,180,0.091
B1,0,30,0,0.091
B1,0,30,10,0.091
B1,0,30,20,0.091
B1,0,30,30,0.091
B1,0,30,40,0.091
B1,0,30,50,0.091
B1,0,30,60,0.091
B1,0,30,70,0.091
B1,0,30,80,0.091
B1,0,30,90,0.091
B1,0,30,100,0.091
B1,0,30,110,0.091
B1,0,30,120,0.091
B1,0,30,130,0.091
B1,0,30,140,0.091
B1,0,30,150,0.091
B1,0,30,160,0.091
B1,0,30,170,0.091
B1,0,30,180,0.091
B1,0,40,0,0.093
B1,0,40,10,0.093
B1,0,40,20,0.093
B1,0,40,30,0.093
B1,0,40,40,0.093
B1,0,40,50,0.093
B1,0,40,60,0.093
B1,0,40,70,0.093
B1,0,40,80,0.093
B1,0,40,90,0.093
B1,0,40,100,0.093
B1,0,40,110,0.093
B1,0,40,120,0.093
B1,0,40,130,0.093
B1,0,40,140,0.093
B1,0,40,150,0.093
B1,0,40,160,0.093
B1,0,40,170,0.093
